Temperature,Humidity,AirQuality
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,46.0,136
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.3,49.0,131
30.2,50.0,129
30.2,50.0,129
30.2,50.0,129
30.2,50.0,129
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,129
30.2,50.0,129
30.2,50.0,129
30.2,50.0,129
30.2,50.0,129
30.2,50.0,129
30.2,50.0,129
30.2,51.0,129
30.2,51.0,129
30.2,51.0,129
30.2,51.0,129
30.2,51.0,129
30.2,51.0,129
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,50.0,128
30.2,52.0,129
30.2,52.0,129
30.2,52.0,129
30.2,52.0,129
30.2,52.0,129
30.2,52.0,129
30.2,52.0,129
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,128
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,51.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,126
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.2,50.0,127
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,126
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,50.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,124
30.1,51.0,124
30.1,51.0,124
30.1,51.0,124
30.1,51.0,124
30.1,51.0,124
30.1,51.0,124
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,126
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,51.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
30.1,52.0,125
